repository_name,owner,last_month,date
dataset2database,alexandrosstergiou,38,2022-01-17
video2spectrogram,alexandrosstergiou,8,2022-01-17
mice,amices,40298,2022-01-17
shinymice,amices,0,2022-01-17
asreview,asreview,873,2022-01-17
asreview-covid19,asreview,63,2022-01-17
asreview-hyperopt,asreview,49,2022-01-17
asreview-statistics,asreview,89,2022-01-17
asreview-visualization,asreview,76,2022-01-17
asreview-wordcloud,asreview,53,2022-01-17
bain,cjvanlissa,799,2022-01-17
metaforest,cjvanlissa,279,2022-01-17
pema,cjvanlissa,467,2022-01-17
tidySEM,cjvanlissa,865,2022-01-17
grlc,CLARIAH,62,2022-01-17
childdevdata,D-score,207,2022-01-17
oommfpy,davidcortesortuno,46,2022-01-17
agldata,gbeckers,27,2022-01-17
brokenstick,growthcharts,430,2022-01-17
pdb-tools,haddocking,825,2022-01-17
cbsodata,J535D165,2473,2022-01-17
recordlinkage,J535D165,156001,2022-01-17
pynta,nanoepics,49,2022-01-17
labphew,SanliFaez,20,2022-01-17
AGD,stefvanbuuren,444,2022-01-17
alpino-query,UUDigitalHumanitieslab,15,2022-01-17
chamd,UUDigitalHumanitieslab,75,2022-01-17
corpus2alpino,UUDigitalHumanitieslab,76,2022-01-17
Massign,vankesteren,241,2022-01-17
pcalg,vankesteren,1943,2022-01-17
