html_url_repository,language,num_chars
https://github.com/19giorgosts/facet_joint_segmentation,Python,18363239
https://github.com/19giorgosts/facet_joint_segmentation,C,12777916
https://github.com/19giorgosts/facet_joint_segmentation,Fortran,5520986
https://github.com/19giorgosts/facet_joint_segmentation,C++,664312
https://github.com/19giorgosts/facet_joint_segmentation,TeX,52106
https://github.com/19giorgosts/facet_joint_segmentation,Makefile,19020
https://github.com/19giorgosts/facet_joint_segmentation,JavaScript,16917
https://github.com/19giorgosts/facet_joint_segmentation,Shell,11070
https://github.com/19giorgosts/facet_joint_segmentation,HTML,7041
https://github.com/19giorgosts/facet_joint_segmentation,sed,5741
https://github.com/19giorgosts/facet_joint_segmentation,MATLAB,4842
https://github.com/19giorgosts/facet_joint_segmentation,CSS,2624
https://github.com/19giorgosts/msot_muscle_segmentation,Python,56012
https://github.com/a-quei/simplenlg-zh,Java,982116
https://github.com/a-quei/simplenlg-zh,HTML,15617
https://github.com/a-quei/quantified-description-generation,Python,44840
https://github.com/a-quei/guanyi.cls,TeX,6531
https://github.com/AJueling/python_climate_physics,Jupyter Notebook,4789345
https://github.com/AJueling/MV-code,Jupyter Notebook,11004689
https://github.com/AJueling/MV-code,Python,172098
https://github.com/AJueling/CESM,Jupyter Notebook,1295840
https://github.com/AJueling/CESM,Python,417350
https://github.com/AJueling/CESM,Shell,12537
https://github.com/AJueling/melt,Jupyter Notebook,138127
https://github.com/AJueling/melt,Python,111352
https://github.com/AJueling/LEC,Fortran,441523
https://github.com/AJueling/LEC,Python,58138
https://github.com/AJueling/LEC,Shell,7625
https://github.com/AJueling/FW-code,Jupyter Notebook,5147804
https://github.com/AJueling/FW-code,Python,225579
https://github.com/AJueling/AMWG,Shell,654532
https://github.com/AJueling/AMWG,NCL,13379
https://github.com/AJueling/EC-Earth3-data,Python,6320
https://github.com/AJueling/EC-Earth3-data,Shell,251
https://github.com/AJueling/thesis-figures,Jupyter Notebook,33174899
https://github.com/AJueling/thesis-figures,Python,291580
https://github.com/albertgatt/face2text,Python,51879
https://github.com/albertgatt/oulipo,Python,45857
https://github.com/albertgatt/oulipo,JavaScript,22843
https://github.com/albertgatt/oulipo,HTML,7729
https://github.com/albertgatt/oulipo,CSS,6603
https://github.com/albertgatt/REG,Python,5825
https://github.com/albertgatt/MlrsApi,Java,479629
https://github.com/albertgatt/MlrsApi,Perl,946
https://github.com/albertgatt/lin2600,Python,20
https://github.com/albertgatt/deepmorph,Python,35434
https://github.com/aldertzomer/RFPlasmid,Python,20421
https://github.com/aldertzomer/RFPlasmid,Jupyter Notebook,10772
https://github.com/aldertzomer/RFPlasmid,R,2747
https://github.com/aldertzomer/RFPlasmid,Shell,556
https://github.com/aldertzomer/FastDeMe,Python,72752
https://github.com/aldertzomer/FastDeMe,Perl,42308
https://github.com/aldertzomer/FastDeMe,C++,35439
https://github.com/aldertzomer/FastDeMe,Shell,22402
https://github.com/aldertzomer/FastDeMe,C,1137
https://github.com/aldertzomer/FastDeMe,Makefile,342
https://github.com/aldertzomer/cgmlst,Perl,13259
https://github.com/aldertzomer/cgmlst,Perl 6,1411
https://github.com/aldertzomer/cgmlst,Shell,832
https://github.com/aldertzomer/Microbial-Genomics-2021,Python,55918
https://github.com/aldertzomer/Microbial-Genomics-2021,HTML,36266
https://github.com/aldertzomer/Microbial-Genomics-2021,CSS,4369
https://github.com/aldertzomer/Microbial-Genomics-2021,SCSS,4264
https://github.com/aldertzomer/Microbial-Genomics-2021,R,3468
https://github.com/aldertzomer/Microbial-Genomics-2021,Makefile,3284
https://github.com/aldertzomer/Microbial-Genomics-2021,JavaScript,1050
https://github.com/aldertzomer/Microbial-Genomics-2021,Ruby,237
https://github.com/aldertzomer/Microbial-Genomics-2021,Shell,220
https://github.com/aldertzomer/ResistNanome,Python,322262
https://github.com/aldertzomer/ResistNanome,Perl,42327
https://github.com/aldertzomer/ResistNanome,Shell,22165
https://github.com/aldertzomer/essentials,Perl,250124
https://github.com/aldertzomer/essentials,R,77930
https://github.com/aldertzomer/scripts,Shell,3881
https://github.com/aldertzomer/Microbial-Genomics-2019,Python,55918
https://github.com/aldertzomer/Microbial-Genomics-2019,HTML,36268
https://github.com/aldertzomer/Microbial-Genomics-2019,CSS,8633
https://github.com/aldertzomer/Microbial-Genomics-2019,R,3468
https://github.com/aldertzomer/Microbial-Genomics-2019,Makefile,3284
https://github.com/aldertzomer/Microbial-Genomics-2019,JavaScript,1050
https://github.com/aldertzomer/Microbial-Genomics-2019,Ruby,237
https://github.com/aldertzomer/Microbial-Genomics-2019,Shell,220
https://github.com/alexandrosstergiou/SoftPool,Python,97350
https://github.com/alexandrosstergiou/SoftPool,Cuda,32565
https://github.com/alexandrosstergiou/SoftPool,C++,8252
https://github.com/alexandrosstergiou/SoftPool,Makefile,126
https://github.com/alexandrosstergiou/keras-DepthwiseConv3D,Python,12985
https://github.com/alexandrosstergiou/Squeeze-and-Recursion-Temporal-Gates,Python,270315
https://github.com/alexandrosstergiou/Saliency-Tubes-Visual-Explanations-for-Spatio-Temporal-Convolutions,Python,15719
https://github.com/alexandrosstergiou/Class_Feature_Visualization_Pyramid,Python,110375
https://github.com/alexandrosstergiou/adaPool,Cuda,114412
https://github.com/alexandrosstergiou/adaPool,Python,88483
https://github.com/alexandrosstergiou/adaPool,C++,35562
https://github.com/alexandrosstergiou/adaPool,Makefile,126
https://github.com/alexandrosstergiou/Traffic-Sign-Recognition-basd-on-Synthesised-Training-Data,Jupyter Notebook,639405
https://github.com/alexandrosstergiou/Traffic-Sign-Recognition-basd-on-Synthesised-Training-Data,Python,3322
