repository_name,owner,last_month,date
dataset2database,alexandrosstergiou,104,2022-03-23
video2spectrogram,alexandrosstergiou,28,2022-03-23
mice,amices,69237,2022-03-23
shinymice,amices,0,2022-03-23
asreview,asreview,3205,2022-03-23
asreview-covid19,asreview,377,2022-03-23
asreview-hyperopt,asreview,203,2022-03-23
asreview-statistics,asreview,365,2022-03-23
asreview-visualization,asreview,336,2022-03-23
asreview-wordcloud,asreview,313,2022-03-23
bain,cjvanlissa,763,2022-03-23
metaforest,cjvanlissa,327,2022-03-23
pema,cjvanlissa,662,2022-03-23
tidySEM,cjvanlissa,1139,2022-03-23
grlc,CLARIAH,336,2022-03-23
childdevdata,D-score,265,2022-03-23
oommfpy,davidcortesortuno,253,2022-03-23
agldata,gbeckers,62,2022-03-23
brokenstick,growthcharts,426,2022-03-23
pdb-tools,haddocking,1675,2022-03-23
cbsodata,J535D165,2527,2022-03-23
recordlinkage,J535D165,152977,2022-03-23
libmseedjs,Jollyfant,153,2022-03-23
pynta,nanoepics,225,2022-03-23
labphew,SanliFaez,77,2022-03-23
AGD,stefvanbuuren,524,2022-03-23
alpino-query,UUDigitalHumanitieslab,149,2022-03-23
chamd,UUDigitalHumanitieslab,408,2022-03-23
corpus2alpino,UUDigitalHumanitieslab,680,2022-03-23
handlebars-i18next,UUDigitalHumanitieslab,11266,2022-03-23
jquery-promise,UUDigitalHumanitieslab,25,2022-03-23
Massign,vankesteren,276,2022-03-23
pcalg,vankesteren,13854,2022-03-23
