html_url,howfairis_repository,howfairis_license,howfairis_registry,howfairis_citation,howfairis_checklist,date
https://github.com/stan-dev/stan,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/pystan2,True,True,False,True,False,2022-08-13
https://github.com/stan-dev/rstan,True,False,False,False,False,2022-08-13
https://github.com/jbikker/lighthouse2,True,True,False,False,False,2022-08-13
https://github.com/J535D165/recordlinkage,True,True,True,True,False,2022-08-13
https://github.com/stan-dev/example-models,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/math,True,True,False,True,False,2022-08-13
https://github.com/stan-dev/bayesplot,True,True,True,False,False,2022-08-13
https://github.com/asreview/asreview,True,True,True,True,True,2022-08-13
https://github.com/stan-dev/rstanarm,True,True,True,False,False,2022-08-13
https://github.com/amices/mice,True,True,True,False,False,2022-08-13
https://github.com/J535D165/data-matching-software,True,False,True,False,False,2022-08-13
https://github.com/stan-dev/stancon_talks,True,False,False,True,False,2022-08-13
https://github.com/OceanParcels/parcels,True,True,True,True,True,2022-08-13
https://github.com/haddocking/pdb-tools,True,True,True,True,False,2022-08-13
https://github.com/stan-dev/pystan,True,True,False,False,False,2022-08-13
https://github.com/jbikker/bvh_article,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/shinystan,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/cmdstan,True,True,False,True,False,2022-08-13
https://github.com/J535D165/CoronaWatchNL,True,True,False,True,False,2022-08-13
https://github.com/jbikker/WrldTmpl8,True,True,False,False,False,2022-08-13
https://github.com/UU-ComputerScience/uhc,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/loo,True,True,True,False,False,2022-08-13
https://github.com/CLARIAH/grlc,True,True,True,True,False,2022-08-13
https://github.com/stan-dev/posteriordb,True,False,False,True,False,2022-08-13
https://github.com/stan-dev/posterior,True,True,True,False,False,2022-08-13
https://github.com/stan-dev/cmdstanpy,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/stanc3,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/projpred,True,True,True,False,False,2022-08-13
https://github.com/kovvalsky/LangPro,True,True,False,False,False,2022-08-13
