uu_user_id,github_user_id
LAbzianidze,kovvalsky
GChen,a-quei
KKogkalidis,konstantinoskokos
LWCvanLit,digitalorientalist
MMoatsos,CLARIAH
SPrins,73616e646572
SJJSpoel,UUDigitalHumanitieslab
MMHostens,Bovi-analytics
CJvanLissa,cjvanlissa
AMacanovic,amacanovic
HIOberman,hanneoberman
GVink,gerkovink
GChen,a-quei
LWDijkhuizen,lauralwd
SFaez,nanoepics
MANHaastrecht,maxvanhaastrecht
LDHoitink,rhoitink
AAKadu,ajinkyakadu125
YKatrukha,ekatrukha
IVKryven,ikryven
CMPierard,cpierard
MJRobeer,marcelrobeer
AGStergiou,alexandrosstergiou
IVelegrakis,velgias
CZhu,chauncyzhu
TvanderZwaard,thomasvdzwaard
IBoszo,bozso
PDAKraaijenbrink,kraaijenbrink
BARicker,bricker0
